55닭갈비,마들,0,1
신의주찹쌀순대 (마들역점),마들,0,1
올리볼렌 (노원점),마들,0,12345
엘리제과자점,마들,0,1
종로떡집,마들,0,12345
고향마을,마들,0,12345
궁중명가,마들,0,12345
행복한밀가루,마들,0,12345
치킨마루 (마들점),마들,0,12345
내사랑족발,마들,0,12345
녹동뻘낙지,청구,4.1,0
하이가쯔,청구,4,0.333333333
스담,청구,3.7,0.285714286
원조짜장떡볶이,청구,3.4,1.333333333
마네키네코,청구,0,1
전주순대국,청구,0,1
시골청국장,청구,0,0
하누에뜰,청구,0,0.5
다루다,청구,0,0
이화원,청구,0,0
금호불고기,신금호,0,0.333333333
운비족발,신금호,0,2
곤드레쌈밥집 (금호점),신금호,0,6
홍짜장 (신금호역점),신금호,0,0
상주한우,신금호,0,0
닭한마리칼국수,신금호,0,12345
신금호떡집,신금호,0,12345
홍스쭈꾸미 (신금호점),신금호,0,12345
호치킨 (신금호역점),신금호,0,12345
해물명가,신금호,0,12345
닌자초밥 (행당점),행당,3.3,1.333333333
행당개인카페,행당,0,0
깐부치킨 (행당역점),행당,0,0
다슬이네,행당,0,0
청춘극장,행당,0,0.5
만두전빵,행당,0,0
신사,행당,0,0.333333333
오코노미야끼,행당,0,0
강정구의피자생각 (성동점),행당,0,0
짬뽕상회 (행당점),행당,0,2
목포산꽃게아구찜탕,마장,4,0.375
한우고향,마장,0,1
화로구이 (마장점),마장,0,1
연평도꽃게아구낙지,마장,0,0
군산아구산꽃게,마장,0,0.25
심가네한우고집,마장,0,0
삼포집 (마장역점),마장,0,0
네네치킨 (한양점),마장,0,12345
황귀닭곰탕마장 (본점),마장,0,1
마장감자탕,마장,0,0
대한닭발1979,장한평,3.8,0.75
스시긴,장한평,3.8,0.142857143
디어테이블,장한평,3.7,0.2
일미간장게장,장한평,3.4,0.8
장안정,장한평,3.2,1.666666667
짬뽕타운 24시,장한평,3.2,6
고봉민김밥인 (장안점),장한평,3.2,1
양대창구이전문점 왕십리,장한평,0,0.066666667
로이앤벨라,장한평,0,0
항방양육관,장한평,0,1
이이요,군자,4.5,0
초이고야,군자,4.2,0.375
LAB41,군자,4.2,0.166666667
리틀톡스커피,군자,4.1,0.181818182
대한곱창 (군자점),군자,4,0.333333333
라멘미세,군자,3.9,0.666666667
카페래디언트,군자,3.8,0.714285714
피자컴퍼니,군자,3.8,0.333333333
마리모,군자,3.4,0.6
바나나토크,군자,3.2,2
아차산할아버지,아차산,4.3,0
시드누아 (중곡점),아차산,4.1,0.111111111
신토불이떡볶이,아차산,4,1.111111111
소바쿠,아차산,4,0.285714286
김병진베이커리,아차산,4,0.285714286
메종드타르트 (본점),아차산,4,0
순금이떡볶이,아차산,3.7,0.444444444
안다즈커피,아차산,3.3,0.444444444
망향비빔국수 (광진점),아차산,3.2,0.833333333
아차산손두부,아차산,0,1
블랑제리 11 17,천호,4.4,0.3
아키노유키 (본점),천호,4.3,0.291666667
쭈꾸쭈꾸쭈꾸미 (본점),천호,4.3,0.310344828
보타이,천호,4.2,0.25
족발선생,천호,4.2,0
