<<<<<<< HEAD
샘밭막국수 (서울본점),교대,4.3,0.588235294
하레,교대,4.3,0.181818182
보떼가젤라또,교대,4.3,0.083333333
교대이층집 (교대본점),교대,4.2,0.179775281
스시카루,교대,4.2,0
탐라도야지,교대,4.2,0.366666667
귀족족발,교대,4.2,0.157894737
램하우스 (서초법원점),교대,4.2,0
서초장어타운,교대,4.1,0.166666667
명동곰돌이,교대,4.1,0.307692308
백년옥 (본점),남부터미널,4.5,0.546511628
루엘드파리,남부터미널,4.5,0.233333333
곰포차,남부터미널,4.4,0.210526316
봉산옥,남부터미널,4.4,0.388888889
마담버터플라이,남부터미널,4.3,0.111111111
스시환,남부터미널,4.2,0.125
우작설렁탕,남부터미널,4.1,0.291666667
목천집,남부터미널,4.1,0.5
고종의아침,남부터미널,4,0.333333333
허수아비돈까스 (서초점),남부터미널,3.8,0.4
프릳츠커피컴퍼니 (3호점),양재,4.6,0.244897959
임병주산동칼국수 (본점),양재,4.3,0.48
방파제횟집,양재,4.3,0
황재벌,양재,4.2,0.625
크롬바커하우스 (양재점),양재,4.2,0
디오디아,양재,4,0.111111111
국미당,양재,4,0.2
타이쇼,양재,3.8,0.4
강촌원조쭈꾸미,양재,3.8,0.4
금강수림,양재,3.8,0.375
브라운브레드 (도곡점),매봉,4.6,0.058823529
마켓오 (도곡점),매봉,4.4,0.742857143
스타쉐프,매봉,4.4,0.347826087
카페진정성,매봉,4.3,0.413043478
브라운핸즈 (도곡점),매봉,4.3,0.714285714
DOMA,매봉,4.3,0
부첼라 (매봉점),매봉,4.3,0.613636364
포브라더스 (도곡점),매봉,4.2,0.791666667
브라이언스커피,매봉,4.2,0.0625
스시카와,매봉,4.1,0.214285714
김영모과자점 (도곡타워점),도곡,4.6,0.377777778
바켄 (타워팰리스점),도곡,4.3,0.166666667
카페톨릭스,도곡,4.1,0.631578947
안남,도곡,4.1,0.615384615
노비아에노비오,도곡,3.9,0.807692308
호수삼계탕 (도곡동직영점),도곡,3.9,0.692307692
야마모토스시 (도곡동점),도곡,3.9,0.444444444
하겐다즈 (도곡타워팰리스점),도곡,3.9,0
우리네코다리,도곡,3.9,0.090909091
그안,도곡,3.8,0.909090909
스톤밀,대치,4.2,0
파티세리김영모 (대치점),대치,4.2,0
우리네코다리,대치,3.9,0.090909091
엠브이샤브샤브,대치,3.8,1
더브라운,대치,3.6,0.75
봉피양 (대치점),대치,3.5,0.875
나폴레옹과자점 (대치점),대치,3.5,0.954545455
베스타,대치,3.4,0.333333333
육판장,대치,3.3,1.333333333
사월에보리밥 (대치점),대치,3.2,4.333333333
서평기사식당,대청,3.9,0.5
어셈블리커피,대청,3.9,0.5
카페알케미,대청,3.6,0.4
서울고로케,대청,3.4,1.5
비첼,대청,0,1.5
본가 (일원점),대청,0,2
치어스 (일원점),대청,0,1
나나 (본점),대청,0,0
카페인더무드,대청,0,1
청송일식,대청,0,12345
아티제 (일원점),일원,2.7,6
치어스 (일원점),일원,0,1
나나 (본점),일원,0,0
초원양꼬치,일원,0,0
돈우마루,일원,0,1
복대감,일원,0,1
교토참치,일원,0,0
개성칡냉면,일원,0,0.5
사또양념치킨,일원,0,0
제주탐하리,일원,0,0
하남돼지집 (수서역점),수서,3.3,1
슈퍼커피 (수서점),수서,3.3,0.5
포메인 (수서점),수서,3.1,1
제주몬트락 (수서직영점),수서,0,0.666666667
깐부치킨 (수서역점),수서,0,1
203 갈비해물집,수서,0,0.25
59년왕십리포차,수서,0,0.333333333
구찌라쿠,수서,0,0
애란궁,수서,0,1
조선면옥,수서,0,2
쌜모네키친,가락시장,4.1,0.390243902
파란달의 커피볶는집,가락시장,3.8,0.25
함경도찹쌀순대,가락시장,3.6,0.608695652
킹카롱,가락시장,3.5,1
씨앤모아 (송파점),가락시장,3.5,2
진성한우곱창 (가락시장점),가락시장,3.4,0.9
금바위감자탕,가락시장,3.4,1.666666667
화포식당 (가락점),가락시장,3.2,0.25
유타로 (가락점),가락시장,3.1,1.222222222
설빙 (가락시장역점),가락시장,3.1,3
홍종흔베이커리,경찰병원,4.3,0
가락골마산아구찜,경찰병원,3.9,0.3125
착한낙지 (송파점),경찰병원,3.3,0.4
한락원,경찰병원,0,12345
일로스페인,경찰병원,0,0.5
아사네커피,경찰병원,0,4
선궁 (가락점),경찰병원,0,0
캄더커피랩,경찰병원,0,0
프랭크서울 (경찰병원역점),경찰병원,0,12345
백년교동짬뽕 (송파점),경찰병원,0,0.666666667
프롬더빈,오금,3,4
윤화돈까스 (오금직영점),오금,3,8
스시바오,오금,0,0.333333333
부산복집 (오금동점),오금,0,0
영사미,오금,0,1
커피앰비언스,오금,0,0
독천낙지골,오금,0,0
멘카야,오금,0,1
오누이손만두,오금,0,12345
고향산천,오금,0,1
우리집곱창,당고개,0,2
고기촌수라상,당고개,0,1
엄마손칼국수,당고개,0,0.333333333
신통치킨 (당고개점),당고개,0,12345
당고개아구찜,당고개,0,12345
원조솥뚜껑생삼겹살,당고개,0,12345
마들사철탕,당고개,0,12345
옛날맛순대국,당고개,0,12345
춘천골닭갈비,당고개,0,12345
육갑촌,당고개,0,12345
돈까스먹는용만이,상계,3.4,1
노걸대감자탕가마삼겹 (노원점),상계,0,0
사카나,상계,0,0.5
채선당 (중계점),상계,0,12345
송화강식당,상계,0,1
도리연닭도리탕,상계,0,0
홍화불닭,상계,0,0
전씨네선술집,상계,0,0
봉평메밀막국수,상계,0,12345
시골순대 (상계점),상계,0,0
시드누아 (노원본점),노원,4.3,0.36
