골목집,8457,신창,0,12345
곰바위,2650,월드컵경기장,4.1,0
곰스키친,121,문정,3.5,1.4
곰포차,2769,홍제,0,0
곱,10422,군포,0,0
곱창의전설,2976,반월,0,12345
공개정원,7335,등촌,0,0
공릉우동집,36,봉은사,4.1,0.6
공복,49989,언주,3.6,1
공사하우스,1799,남부터미널,4.4,0.210526316
공항닭발,595,잠실새내,3.9,0.285714286
공항떡집,1,노량진,3.8,0.285714286
공항칼국수,3596,부천,3.9,1
관악감자탕,14,공릉,3.9,0.3
관악식당,4,상월곡,4,0.111111111
광나루순대,49,월곡,4,0.111111111
광명만두,850,송내,0,1
광산떡볶이,5,송정,0,0
광어2마리스,29,공항시장,0,12345
광장민속촌,40,송정,3.4,1.083333333
광주똑순이,149,관악,0,0
광주식당,3262,과천,0,12345
광화문오향족발,25,광나루,3.4,1
괜찮은꼬치집,66,두정,4.1,0.3
교대이층집,8163,신이문,0,0
교동전선생,5043,부개,0,0
교토참치,370,개봉,0,0
구로곱창,3342,발산,3.9,1
구르메우동,255,청량리,3.4,0.375
구름공방,5544,광화문,4.6,0.333333333
구름산원주추어탕,57,경복궁,4.6,0.333333333
구법원,155,동인천,0,0
구복만두,5595,종각,4.4,0.114285714
구삼이,333,교대,4.2,0.179775281
구수옥,828,산본,3.4,0.25
구스토타코,2022,일원,0,0
구은몽,1,구로디지털단지,3.6,0.454545455
구이박사,133,단대오거리,3.7,0.75
구찌라쿠,19,신방화,0,1
국대떡볶이,14401,남구로,0,0
국미당,353,노원,4.3,0.333333333
국민반점,463,숙대입구,4.4,0.4
국수가좋아,433,남구로,0,0
국수나무,39061,서동탄,0,0
국수찾아닭만리,1197,상수,4.4,0.495145631
국수파동,655,상월곡,0,1
국시집,10428,봉명,0,1
국제족발,148,수서,0,0
국화,89547,천왕,0,2
군계일닭,562,양재,4,0.2
군계폐계닭,811,새절,0,0
군산아구산꽃게,254,신당,3.8,0.222222222
군산오징어,18738,창신,0,12345
군원,212,아산,0,0
군포농장보신정,None,종로3가,4.4,0
군포떡집,21,성균관대,4.1,0.1
군포식당,249,한성대입구,3.8,0.555555556
굴다리식당,3275,백운,0,12345
굽네치킨,119935,이촌,4.1,0.5
굿데이서울,992,애오개,0,12345
굿애프터눈,6836,평택,3.9,0.25
궁나라냉면묵밥,9,신답,0,0.25
궁중명가,1,마장,0,0.25
궤도에오르다,2658,금정,0,1
귀복루주가,16,마두,3.9,0.333333333
귀일만두,615,대야미,0,12345
귀족족발,719,군포,0,12345
귀품찬,1400,군포,0,0.5
규스커피,26,공덕,3.7,1
규스홈,362,녹양,0,0
그남자의덮밥,956,노들,0,0
그녀의돈까스,267,신반포,0,1
그때그집,3963,창신,0,12345
그램그램,56286,마들,0,12345
그런밤,7654,어린이대공원,4.4,0.380952381
그런커피,2243,대림,0,0
그레인제빵소,381,금호,3.4,0.4
그리고옹심이메밀칼국수,None,교대,4.2,0.157894737
그리지하우스,2282,수유,4.1,0.166666667
그리츠,1483,마곡,0,0
그리핀바,1519,사당,4.3,0.166666667
그린고메,239,뚝섬유원지,3.2,2
그릿커피랩,301,평택,0,1
그집순대국,300,강남구청,3.9,0.166666667
그집쭈꾸미,5923,서정리,0,12345
금강산숯불갈비,39,노들,0,0
금강수림,531,노들,3.8,0.181818182
금대한우도매식당,31,송파,0,0
금락일식,9,망월사,0,0
금바위감자탕,395,석촌,4.3,0.471698113
금봉족발,1,국회의사당,3.7,0.4
금산제면소,3374,동대문,3.9,0.2
금왕돈까스,4482,서초,4.2,0.185185185
금왕평양면옥,604,봉천,0,0
금호불고기,179,보산,0,1
금희네삼겹살,1,천왕,0,1
기꾸,2714,간석,0,2
기다려봄,2486,양재,3.8,0.375
기와스시,222,독산,0,1
기절초풍물닭갈비,383,동두천중앙,0,0
기지개피자,12,가락시장,3.4,1.666666667
기차길옆초밥,278,거여,0,0
기찻길연탄불생고기,584,명동,3.7,0.5
긴자,120794,양천향교,0,1
길목,4119,방이,3.7,0.714285714
김경자소문난대구왕뽈찜,676,신금호,0,0.333333333
김네집,4838,녹천,0,0
김돼지네,7,동작,4.2,0.405405405
김떡배,128,부천,3.3,0.4
김떡비,243,화곡,3.2,1.333333333
김명자굴국밥전문점,26,가능,0,0
김명태,194,명학,0,12345
김민철수제족발,445,신용산,3.7,0.75
김밥과스파게티,76,당산,3.7,0.583333333
김병진베이커리,106,산본,3.4,0.230769231
김선생,31541,청담,4.2,0.125
김영모과자점,11352,양주,0,12345
김영섭초밥,1791,송탄,4,0.1875
김용기과자점,128,송탄,3.6,0.5
김정수할머니보쌈막국수,8,덕계,0,0
김제한우,1144,덕계,0,12345
김창일스시,677,구일,0,0
김판조닭강정,None,국회의사당,3.8,0.666666667
깃대봉냉면,1495,광명사거리,0,0
까이식당,891,삼송,0,1
까치네,2516,인덕원,3.7,0.75
까페메르시,64,아차산,4,0.285714286
까페이레,41,신흥,0,1
깍뚝,714,강남구청,4,0.5
깐부치킨,54586,도곡,4.6,0.377777778
깐쪼네,26,신반포,4.5,0.45
깔꾸리정육식당,17,월드컵경기장,3.9,0.375
깔리,4647,송정,0,0
깡통닭갈비,1264,까치울,3.7,0.666666667
깡통돌곱창,4243,고잔,0,12345
깡통만두,4566,낙성대,3.8,0.3125
꺼먹돼지,2161,잠실새내,3.9,1.4
꼬꼬아찌,124134,창신,3.4,2.5
꼬뜨블렁쉬,675,이대,4.5,0.297297297
꼬맹이김밥,124,숙대입구,3.3,2.5
꼬메노,2181,춘의,0,0
꼬주막,1672,신답,0,0
꼬치굽는브라더,499,어린이대공원,4.3,0
꼼떼바베큐,406,고덕,0,4
꼼장군,1763,강동,0,2
꽁당보리밥,1710,길동,0,2
꽁떼,2498,신목동,0,2
꽃다방,8715,수서,0,1
꾸러기분식,476,증미,0,0
꿀꾸랄라,245,충정로,0,0.333333333
꿀맛식당,14757,행당,0,0
꿈꾸는다락방,15057,충정로,0,0
끼아로젤라떼리아,647,병점,0,0
끽다점,399,혜화,4.4,0.348837209
낀알로이알로이,563,사당,4.2,0
나그네파전,1176,신림,4.1,0.4
나나,131717,의정부,4.2,0.375
나나캄,43,안국,4.4,0.318681319
나누미떡볶이,2723,덕계,0,12345
나두밥,13,뚝섬유원지,3.2,3
나랑,82320,원흥,0,0
나마스테,8521,직산,0,12345
나무자전거,644,건대입구,4.5,0.230769231
나미,27644,신림,4,0
나우니스,833,지행,0,0
나이트티,965,마곡나루,0,0
나인온스버거,3487,잠실새내,3.9,0.5
나정순할매쭈꾸미,5895,배방,0,0.5
나폴레옹과자점,2763,굴포천,0,3
낙산고을,None,이태원,4.5,0.285714286
낙산냉면,3904,뚝섬유원지,3.1,0.666666667
낙원궁중떡집,None,명일,0,2
낙원떡방앗간,10,노량진,4,0.25
낙원복떡집,None,한성대입구,3.8,0.5625
낙원타코,6967,역곡,3.2,1.25
낙지먹자,13,서대문,3.8,0.083333333
낙지방,32,주안,0,0
난봉꾼,5932,봉천,3.8,0.454545455
난이네곱창,245,고려대,4.4,0.166666667
남경관,13,대청,0,0
남경막국수,2227,일원,0,0
남경반점,130,선유도,3.7,0.2
남고집,4243,혜화,4.4,0.457142857
남궁,None,신답,0,0
남대문임금님표꿀타래,None,평택,0,0
남부식당,756,동묘앞,0,0
남원골추어탕,472,구산,0,12345
남포면옥,4343,광나루,0,1
남해바다마차,2484,마곡나루,0,0
낭만부대찌개,378,성균관대,4.1,0
낮것상칼국수,51,서울대입구,4.4,0.418032787
내고향가마솥,32,제기동,4.3,0.106382979
내고향왕만두,63,한성대입구,3.9,0.6
내사랑족발,1060,대치,3.5,0.954545455
내친구고양이카페,41,신목동,3.4,0.636363636
넉넉한사람들,15,종합운동장,3.7,0.884615385
넓은공간,1560,창신,0,12345
네네치킨,107154,동묘앞,3.7,1.083333333
노가리깔까,9,신반포,0,0
노걸대감자탕가마삼겹,36,대야미,0,12345
노량진길거리베트남쌀국수,None,오이도,0,12345
노렌,6317,신논현,4.4,0.3
노말키친,1108,대공원,0,12345
노멀커피,2037,봉화산,0,2
노비아에노비오,1163,도림천,0,12345
노비어노라이프,1077,길음,0,0
노아베이커리,6114,오이도,0,12345
노원목고기집,27,잠실새내,3.9,0.52
노천드럼통,2227,학여울,0,0
녹기전에,3711,신림,3.7,0.111111111
녹동뻘낙지,246,대화,3,2
녹번꼼장어,339,신이문,0,12345
논골장마담집,6,인덕원,0,0
논두렁갈비,6,구의,3.4,0.333333333
논밭골,360,학동,3.6,0.375
논현김밥,1,석계,0,0
논현손칼국수,259,구로디지털단지,4,0.363636364
논현장어,1043,성균관대,3.7,0.375
놀란치킨,1015,경마공원,0,12345
놀부보쌈,8174,광흥창,0,12345
놀부부대찌개,20067,마들,0,12345
농민백암순대,1630,사가정,0,0
농민백암왕순대,606,덕정,0,0
농부의꿈,848,소요산,0,12345
농이마을,None,광흥창,0,12345
농장이야기,504,마장,0,12345
농협안심한우,767,공항시장,0,1
누들박스,8277,신방화,0,1
누들아한타이,479,상계,0,0
뉴욕베이커리,306,영등포구청,0,12345
뉴욕스키친,507,노량진,3.8,0.5
뉴욕택시디저트,395,양천향교,0,1
뉴질랜드스토리,7765,쌍문,3.9,0.222222222
뉴타지마할,47,부평구청,3.3,1
느티나무,16138,굴포천,3.3,1
늘보리,477,도곡,3.9,0.807692308
